t,TSolarSeg,TSolarReturn,TAmbient,Radiation_Hor,dmSolar
213.59375,13.629570000000001,9.999990000000025,25.395560000000046,522.3974,0.01
213.60417,13.54525000000001,9.999990000000025,25.499990000000025,510.0,0.01
213.61458,13.454490000000021,9.999990000000025,25.567960000000028,497.11273,0.01
213.62500,13.35739000000001,9.999990000000025,25.60208,483.36816,0.01
213.63542,13.24789000000004,9.999990000000025,25.610160000000008,468.43954,0.01
213.64583,13.123620000000017,9.999990000000025,25.600000000000023,452.0,0.01
213.65625,12.975120000000004,9.999990000000025,25.57421000000005,432.50986,0.01
213.66667,12.801050000000032,9.999990000000025,25.522910000000024,408.83017,0.01
213.67708,12.594780000000014,9.999990000000025,25.435140000000047,381.23541,0.01
213.68750,12.367670000000032,9.999990000000025,25.300010000000043,350.0,0.01
213.69792,12.124410000000012,9.999990000000025,25.112330000000043,316.30701,0.01
213.70833,11.87847000000005,9.999990000000025,24.878750000000025,281.44968,0.01
213.71875,11.635580000000004,9.999990000000025,24.605770000000007,245.86749,0.01
213.72917,11.401850000000024,9.999990000000025,24.300010000000043,210.0,0.01
213.73958,11.180409999999995,9.999990000000025,23.978110000000015,172.44635,0.01
213.75000,10.98144000000002,9.999990000000025,23.645010000000013,133.05389,0.01
213.76042,10.821920000000034,9.999990000000025,23.289360000000045,94.1345,0.01
213.77083,10.740380000000016,9.999990000000025,22.899990000000003,82.0,0.01
213.78125,10.702050000000042,9.999990000000025,22.48696000000001,71.33182,0.01
213.79167,10.590540000000033,9.999990000000025,22.06689,51.67273,0.01
213.80208,10.473350000000039,9.999990000000025,21.638360000000034,31.17727,0.01
213.81250,10.390530000000012,9.999990000000025,21.20001000000002,18.0,0.01
213.82292,10.342489999999998,9.999990000000025,20.75585000000001,11.3625,0.01
213.83333,10.30068,9.999990000000025,20.309380000000033,5.6,0.01
213.84375,10.267910000000029,9.999990000000025,19.858210000000042,1.5375,0.01
213.85417,10.246180000000038,9.999990000000025,19.399990000000003,0.0,0.01
213.86458,10.234280000000012,9.999990000000025,18.92968000000002,0.0,0.01
213.87500,10.222100000000012,9.999990000000025,18.45001000000002,0.0,0.01
213.88542,10.209860000000049,9.999990000000025,17.97030000000001,0.0,0.01
213.89583,10.197780000000023,9.999990000000025,17.499990000000025,0.0,0.01
213.90625,10.186059999999998,9.999990000000025,17.043630000000007,0.0,0.01
213.91667,10.17434000000003,9.999990000000025,16.595540000000028,0.0,0.01
213.92708,10.162560000000042,9.999990000000025,16.14965000000001,0.0,0.01
213.93750,10.150689999999997,9.999990000000025,15.70001000000002,0.0,0.01
213.94792,10.13882000000001,9.999990000000025,15.227689999999996,0.0,0.01
213.95833,10.126950000000022,9.999990000000025,14.73571000000004,0.0,0.01
213.96875,10.115049999999997,9.999990000000025,14.250879999999995,0.0,0.01
